freq,WS1,WS2,W1,W2,LS1,LS2,L1,L2,S11r,S11i,S21r,S21i,S31r,S31i,S41r,S41i
2.0,3.5,2.6,1.0,3.6,18.2,6.5,38.6,38.6,-0.7565,0.4165,-0.0158,0.3899,0.1085,-0.2226,-0.0285,0.1655
2.0,4.4,2.2,2.2,4.1,5.0,17.1,16.6,14.6,-0.0149,0.5802,-0.0245,-0.5314,-0.5936,0.0915,-0.0246,0.0579
2.0,3.0,1.8,4.8,1.6,3.6,3.5,28.8,42.9,-0.6047,0.1029,-0.3619,-0.1852,0.3391,0.3938,-0.3643,-0.2095
2.0,4.4,4.4,4.6,3.2,7.5,5.2,14.8,14.2,-0.3017,0.4777,-0.3094,-0.2049,-0.5169,-0.3107,0.12,-0.3956
2.0,3.5,2.9,3.2,4.0,19.5,19.9,8.6,28.2,-0.3234,0.4537,0.2344,-0.0405,-0.2256,0.1217,-0.6602,-0.3172
2.0,4.3,3.5,3.7,3.1,17.2,16.4,31.9,13.0,-0.6702,-0.1329,-0.4226,0.1061,0.4246,0.0188,-0.316,0.205
2.0,2.0,4.2,3.8,2.7,15.9,8.6,23.7,20.6,-0.3938,-0.2966,-0.0555,-0.317,-0.0771,0.6135,-0.5043,0.0149
2.0,3.8,3.4,2.7,1.0,20.1,8.5,41.3,33.6,-0.9508,0.254,-0.0397,0.0812,0.0457,-0.059,0.0195,0.1028
2.0,2.1,4.4,4.8,5.0,18.3,20.2,26.3,9.2,-0.4696,0.1954,-0.1697,-0.0497,0.1174,0.2633,-0.3597,-0.6796
2.0,1.3,2.8,4.8,2.3,5.9,12.6,12.8,5.9,-0.6484,0.5285,-0.0104,-0.2687,-0.1696,-0.3968,0.0121,-0.1919
2.0,2.7,3.1,3.1,1.4,8.8,2.4,40.8,39.6,-0.5844,-0.0406,-0.4578,0.0467,0.4713,0.0275,-0.3887,0.244
2.0,1.3,4.7,2.0,4.6,17.8,4.8,24.8,7.5,-0.3909,0.0576,0.1206,-0.6582,-0.3622,0.1876,-0.4032,0.2336
2.0,2.8,4.6,1.9,3.0,17.7,3.4,5.3,15.1,-0.5935,0.5115,-0.2709,-0.1478,-0.304,-0.1679,-0.1444,-0.3784
2.0,2.7,4.2,5.0,1.6,6.9,15.6,32.4,11.8,-0.4638,0.2373,-0.1355,-0.2456,0.1163,0.3686,-0.4894,-0.4989
2.0,3.7,5.0,4.8,1.9,10.4,13.9,4.9,23.2,-0.7213,-0.0917,-0.0929,0.1265,-0.0953,0.1227,0.1172,-0.6353
2.0,2.2,1.5,5.0,5.0,20.9,11.4,9.0,13.9,-0.707,0.4164,-0.2551,-0.0592,-0.3127,-0.1162,-0.0884,-0.3571
2.0,4.7,1.6,3.2,4.7,18.1,17.2,29.2,23.9,-0.8521,0.0594,-0.3156,0.1556,0.3201,-0.0185,-0.1161,0.1355
2.0,3.4,4.7,4.8,2.1,7.8,8.3,25.8,41.4,-0.5675,0.0876,-0.3982,-0.1586,0.3782,0.3659,-0.4028,-0.1887
2.0,1.2,4.9,1.9,1.4,6.1,9.3,6.9,9.1,-0.3186,0.6567,-0.1912,-0.3673,-0.2417,-0.3974,0.1629,-0.2157
2.0,4.9,2.1,4.8,4.3,7.9,15.0,25.2,38.6,-0.5541,0.1507,-0.3992,-0.1117,0.3817,0.3412,-0.413,-0.2325
2.0,3.5,2.2,4.4,2.2,18.2,16.2,30.4,6.4,-0.794,-0.1126,-0.21,-0.1795,0.1114,0.4836,-0.1404,0.0077
2.0,2.3,1.0,3.0,4.3,17.1,10.2,21.6,42.3,-0.587,0.2162,-0.4265,0.0603,0.4135,0.2907,-0.3453,-0.1873
2.0,5.0,2.7,2.9,4.9,16.5,11.0,38.1,30.6,-0.8362,0.0843,-0.2467,0.2694,0.268,-0.163,-0.1147,0.1969
2.0,4.7,3.0,3.5,3.8,9.5,8.4,24.7,10.9,-0.1073,0.2074,0.023,-0.6248,-0.6359,0.0781,-0.3331,0.1412
2.0,2.1,4.4,4.2,2.4,17.8,11.1,19.1,38.5,-0.6628,-0.0461,-0.358,-0.2141,0.3424,0.389,-0.3178,-0.0019
2.0,1.4,3.5,1.5,4.9,19.6,8.3,16.5,39.1,-0.5826,0.3041,-0.3839,0.1436,0.3884,0.3428,-0.2773,-0.1989
2.0,3.4,4.7,4.4,2.5,12.6,5.0,36.2,9.1,-0.575,-0.25,-0.0302,-0.2706,-0.1172,0.6313,-0.3197,0.0667
2.0,4.5,4.3,4.9,1.4,2.2,10.8,24.1,5.2,-0.1825,0.6497,0.0213,-0.2898,-0.5947,-0.2866,0.0447,-0.0997
2.0,4.3,4.0,4.9,4.6,16.5,8.3,30.8,5.1,-0.7599,-0.0056,-0.0722,-0.5174,-0.1322,0.1526,-0.0965,0.3019
2.0,2.0,4.2,2.7,2.8,19.5,19.5,12.4,28.0,-0.1649,0.1064,-0.2947,-0.1097,0.3033,0.1881,-0.8274,-0.0913
2.0,1.8,4.7,1.3,4.5,12.7,13.2,17.4,25.8,-0.1091,0.0123,-0.5862,-0.0096,-0.0216,0.608,0.0316,-0.5026
2.0,4.2,4.9,4.2,4.3,15.1,2.7,34.0,24.2,-0.824,-0.0185,-0.2705,-0.1659,0.2565,0.3394,-0.156,0.0839
2.0,2.2,2.1,1.8,4.8,4.3,4.3,16.9,20.8,-0.0407,0.4731,0.0381,-0.4864,-0.6187,-0.0721,-0.3676,-0.0519
2.0,3.4,3.0,4.8,2.3,3.6,8.8,31.1,42.8,-0.4958,0.1247,-0.4573,-0.0473,0.4569,0.2292,-0.4847,-0.1391
2.0,4.3,3.3,4.8,2.5,18.9,2.2,17.4,38.3,-0.9084,-0.0522,-0.1562,-0.1288,0.1375,0.2762,-0.0746,0.1371
2.0,3.9,4.7,2.2,1.6,4.3,15.9,16.6,37.4,-0.317,0.1266,-0.2373,-0.1216,0.1861,0.3855,-0.5249,-0.5827
2.0,2.7,2.0,3.8,3.4,15.7,10.4,24.0,20.2,-0.5201,-0.3268,-0.1365,-0.2624,-0.0653,0.6225,-0.3497,0.0751
